title,year,studio,archive_id,details_url,embed_url,download_url,video_filename,description,characters,age_range,runtime_minutes,public_domain_basis,public_domain_confidence,needs_legal_review,verified,calmness_score,visual_stimulation,audio_intensity,emotional_intensity,conflict_level,educational_value,bedtime_friendly,tags,ai_summary,id
Wagon Train - The Dr. Denker Story,1957,Unknown,Wagon_Train_-_The_Dr._Denker_Story,https://archive.org/details/Wagon_Train_-_The_Dr._Denker_Story,https://archive.org/embed/Wagon_Train_-_The_Dr._Denker_Story,https://archive.org/download/Wagon_Train_-_The_Dr._Denker_Story/Wagon_Train_-_The_Dr._Denker_Story_512kb.mp4,Wagon_Train_-_The_Dr._Denker_Story_512kb.mp4,"Wagon Train was a popular western series that ran on both NBC and ABC from September 18th, 1957 through May 2nd, 1965, for a total of 284 episodes. The show chronicled the trials and tribulations of pioneering families as they set out from the East to carve out a new life in the West in a wagon train making it's way from Missouri to California. It was set just a few years after The Civil War. For some of the travellers it was a happy ending, but not for all, which only heightened the drama along the way. Many times the train would have to ""circle the wagons"" to defend itself against Indian attacks. ""The Dr. Denker Story"" Season 5 Episode 18 Flint, portrayed by Robert Horton, finds a young boy who witnessed the murder of his father and cannot speak. Dr. Denker, a traveling salesman, seems t","[""Unknown""]",6-10,,Archive metadata/description/subjects mention public domain.,0.8,True,True,48,high,medium,medium,high,medium,False,"[""adventure""]",A classic Unknown cartoon with high visual stimulation and high conflict.,27
Wagon Train - The Malachi Hobart Story,1957,Unknown,Wagon_Train_-_The_Malachi_Hobart_Story,https://archive.org/details/Wagon_Train_-_The_Malachi_Hobart_Story,https://archive.org/embed/Wagon_Train_-_The_Malachi_Hobart_Story,https://archive.org/download/Wagon_Train_-_The_Malachi_Hobart_Story/Wagon_Train_-_The_Malachi_Hobart_Story_512kb.mp4,Wagon_Train_-_The_Malachi_Hobart_Story_512kb.mp4,"Wagon Train was a popular western series that ran on both NBC and ABC from September 18th, 1957 through May 2nd, 1965, for a total of 284 episodes. The show chronicled the trials and tribulations of pioneering families as they set out from the East to carve out a new life in the West in a wagon train making it's way from Missouri to California. It was set just a few years after The Civil War. For some of the travellers it was a happy ending, but not for all, which only heightened the drama along the way. Many times the train would have to ""circle the wagons"" to defend itself against Indian attacks. ""The Malachi Hobart Story"" Season 5 Episode 17 An old con man trys to fleece the wagon train members of money by pretending to be a preacher trying to raise funds to build a church. He is outfox","[""Unknown""]",6-10,,Archive metadata/description/subjects mention public domain.,0.8,True,True,48,high,medium,medium,high,medium,False,"[""adventure""]",A classic Unknown cartoon with high visual stimulation and high conflict.,28
The Rifleman - Day Of The Hunter,1958,Unknown,The_Rifleman_-_Day_Of_The_Hunter,https://archive.org/details/The_Rifleman_-_Day_Of_The_Hunter,https://archive.org/embed/The_Rifleman_-_Day_Of_The_Hunter,https://archive.org/download/The_Rifleman_-_Day_Of_The_Hunter/The_Rifleman_-_Day_Of_The_Hunter_512kb.mp4,The_Rifleman_-_Day_Of_The_Hunter_512kb.mp4,"The Rifleman was an American Western television program that ran on ABC, from September 30th, 1958 to April 8th, 1963. It was a production of Four Star Television. Chuck Connors starred as The Rifleman, named Lucas McCain, a widower and a Union veteran of the Civil War (lieutenant in the 19th Indiana Volunteer Infantry Regiment), and a homesteader. McCain and his son, Mark (Johnny Crawford) lived on a ranch outside the fictitious town of North Fork, New Mexico Territory. The series was set in the 1880's and the various episodes promoted fair play toward one's opponents, neighborliness, equal rights and the need to use violence in a highly controlled manner. ""Day Of The Hunter"" Season 2 Episode 15 A famous buffalo hunter tries to goad Lucas into a shooting match.","[""Unknown""]",6-10,,Archive metadata/description/subjects mention public domain.,0.8,True,True,48,high,medium,medium,high,medium,False,"[""adventure""]",A classic Unknown cartoon with high visual stimulation and high conflict.,29
The Rifleman - Outlaw's Inheritance,1958,Unknown,The_Rifleman_-_Outlaws_Inheritance,https://archive.org/details/The_Rifleman_-_Outlaws_Inheritance,https://archive.org/embed/The_Rifleman_-_Outlaws_Inheritance,https://archive.org/download/The_Rifleman_-_Outlaws_Inheritance/The_Rifleman_-_Outlaws_Inheritance_512kb.mp4,The_Rifleman_-_Outlaws_Inheritance_512kb.mp4,"The Rifleman was an American Western television program that ran on ABC, from September 30th, 1958 to April 8th, 1963. It was a production of Four Star Television. Chuck Connors starred as The Rifleman, named Lucas McCain, a widower and a Union veteran of the Civil War (lieutenant in the 19th Indiana Volunteer Infantry Regiment), and a homesteader. McCain and his son, Mark (Johnny Crawford) lived on a ranch outside the fictitious town of North Fork, New Mexico Territory. The series was set in the 1880's and the various episodes promoted fair play toward one's opponents, neighborliness, equal rights and the need to use violence in a highly controlled manner. ""Outlaw's Inheritance"" Season 1 Episode 38 Lucas is the town's representative to the railroad commission until an infamous train robbe","[""Unknown""]",6-10,,Archive metadata/description/subjects mention public domain.,0.8,True,True,48,high,medium,medium,high,medium,False,"[""adventure""]",A classic Unknown cartoon with high visual stimulation and high conflict.,30
Bonanza - Bitter Water,1959,Unknown,Bonanza-BitterWater,https://archive.org/details/Bonanza-BitterWater,https://archive.org/embed/Bonanza-BitterWater,https://archive.org/download/Bonanza-BitterWater/Bonanza_Bitter_Water_S01-E29.mp4,Bonanza_Bitter_Water_S01-E29.mp4,"Set in Nevada in the 1860s, Bonanza chronicled the adventures of the Cartwright family who owned a large ranch called The Ponderosa. Ben Cartwright and his three sons, Adam, Hoss, and Joe fought for what was just and decent in a time where lawlessness was common. The widowed patriarch Ben Cartwright had three sons, each by a different wife: the oldest was the urbane architect Adam Cartwright, who built the ranch house. The second was the warm and lovable giant Eric, better known by his nickname ""Hoss."" And the youngest was the hotheaded and impetuous Joseph or ""Little Joe."" They all lived and worked on The Ponderosa. Nearby Virginia City helped populate the episodes with guest starring characters from all over America. Broadcast between September 1959 and January 1973. Filmed by the Nation","[""Unknown""]",6-10,,Archive metadata/description/subjects mention public domain.,0.8,True,True,48,high,medium,medium,high,medium,False,"[""adventure"", ""friendship""]",A classic Unknown cartoon with high visual stimulation and high conflict.,31
Bonanza - Blood On The Land,1959,Unknown,Bonanza-BloodOnTheLand,https://archive.org/details/Bonanza-BloodOnTheLand,https://archive.org/embed/Bonanza-BloodOnTheLand,https://archive.org/download/Bonanza-BloodOnTheLand/Bonanza_-_Blood_On_The_Land_S01-E22.mp4,Bonanza_-_Blood_On_The_Land_S01-E22.mp4,"Set in Nevada in the 1860s, Bonanza chronicled the adventures of the Cartwright family who owned a large ranch called The Ponderosa. Ben Cartwright and his three sons, Adam, Hoss, and Joe fought for what was just and decent in a time where lawlessness was common. The widowed patriarch Ben Cartwright had three sons, each by a different wife: the oldest was the urbane architect Adam Cartwright, who built the ranch house. The second was the warm and lovable giant Eric, better known by his nickname ""Hoss."" And the youngest was the hotheaded and impetuous Joseph or ""Little Joe."" They all lived and worked on The Ponderosa. Nearby Virginia City helped populate the episodes with guest starring characters from all over America. Broadcast between September 1959 and January 1973. Filmed by the Nation","[""Unknown""]",6-10,,Archive metadata/description/subjects mention public domain.,0.8,True,True,48,high,medium,medium,high,medium,False,"[""adventure"", ""friendship""]",A classic Unknown cartoon with high visual stimulation and high conflict.,32
Bonanza - Dark Star,1959,Unknown,Bonanza-DarkStar,https://archive.org/details/Bonanza-DarkStar,https://archive.org/embed/Bonanza-DarkStar,https://archive.org/download/Bonanza-DarkStar/Bonanza_-_Dark_Star_S01-E31.mp4,Bonanza_-_Dark_Star_S01-E31.mp4,"Set in Nevada in the 1860s, Bonanza chronicled the adventures of the Cartwright family who owned a large ranch called The Ponderosa. Ben Cartwright and his three sons, Adam, Hoss, and Joe fought for what was just and decent in a time where lawlessness was common. The widowed patriarch Ben Cartwright had three sons, each by a different wife: the oldest was the urbane architect Adam Cartwright, who built the ranch house. The second was the warm and lovable giant Eric, better known by his nickname ""Hoss."" And the youngest was the hotheaded and impetuous Joseph or ""Little Joe."" They all lived and worked on The Ponderosa. Nearby Virginia City helped populate the episodes with guest starring characters from all over America. Broadcast between September 1959 and January 1973. Filmed by the Nation","[""Unknown""]",6-10,,Archive metadata/description/subjects mention public domain.,0.8,True,True,48,high,medium,medium,high,medium,False,"[""adventure"", ""friendship""]",A classic Unknown cartoon with high visual stimulation and high conflict.,33
Bonanza - Desert Justice,1959,Unknown,Bonanza-DesertJustice,https://archive.org/details/Bonanza-DesertJustice,https://archive.org/embed/Bonanza-DesertJustice,https://archive.org/download/Bonanza-DesertJustice/Bonanza_-_Desert_Justice_S01-E23.mp4,Bonanza_-_Desert_Justice_S01-E23.mp4,"Set in Nevada in the 1860s, Bonanza chronicled the adventures of the Cartwright family who owned a large ranch called The Ponderosa. Ben Cartwright and his three sons, Adam, Hoss, and Joe fought for what was just and decent in a time where lawlessness was common. The widowed patriarch Ben Cartwright had three sons, each by a different wife: the oldest was the urbane architect Adam Cartwright, who built the ranch house. The second was the warm and lovable giant Eric, better known by his nickname ""Hoss."" And the youngest was the hotheaded and impetuous Joseph or ""Little Joe."" They all lived and worked on The Ponderosa. Nearby Virginia City helped populate the episodes with guest starring characters from all over America. Broadcast between September 1959 and January 1973. Filmed by the Nation","[""Unknown""]",6-10,,Archive metadata/description/subjects mention public domain.,0.8,True,True,48,high,medium,medium,high,medium,False,"[""adventure"", ""friendship""]",A classic Unknown cartoon with high visual stimulation and high conflict.,34
Bonanza - Escape To Ponderosa,1959,Unknown,Bonanza-EscapeToPonderosa,https://archive.org/details/Bonanza-EscapeToPonderosa,https://archive.org/embed/Bonanza-EscapeToPonderosa,https://archive.org/download/Bonanza-EscapeToPonderosa/Bonanza_-_Escape_To_Ponderosa_S01-E25.mp4,Bonanza_-_Escape_To_Ponderosa_S01-E25.mp4,"Set in Nevada in the 1860s, Bonanza chronicled the adventures of the Cartwright family who owned a large ranch called The Ponderosa. Ben Cartwright and his three sons, Adam, Hoss, and Joe fought for what was just and decent in a time where lawlessness was common. The widowed patriarch Ben Cartwright had three sons, each by a different wife: the oldest was the urbane architect Adam Cartwright, who built the ranch house. The second was the warm and lovable giant Eric, better known by his nickname ""Hoss."" And the youngest was the hotheaded and impetuous Joseph or ""Little Joe."" They all lived and worked on The Ponderosa. Nearby Virginia City helped populate the episodes with guest starring characters from all over America. Broadcast between September 1959 and January 1973. Filmed by the Nation","[""Unknown""]",6-10,,Archive metadata/description/subjects mention public domain.,0.8,True,True,48,high,medium,medium,high,medium,False,"[""adventure"", ""friendship""]",A classic Unknown cartoon with high visual stimulation and high conflict.,35
Bonanza - Feet Of Clay,1959,Unknown,Bonanza-FeetOfClay,https://archive.org/details/Bonanza-FeetOfClay,https://archive.org/embed/Bonanza-FeetOfClay,https://archive.org/download/Bonanza-FeetOfClay/Bonanza_-_Feet_Of_Clay_S01-E30.mp4,Bonanza_-_Feet_Of_Clay_S01-E30.mp4,"Set in Nevada in the 1860s, Bonanza chronicled the adventures of the Cartwright family who owned a large ranch called The Ponderosa. Ben Cartwright and his three sons, Adam, Hoss, and Joe fought for what was just and decent in a time where lawlessness was common. The widowed patriarch Ben Cartwright had three sons, each by a different wife: the oldest was the urbane architect Adam Cartwright, who built the ranch house. The second was the warm and lovable giant Eric, better known by his nickname ""Hoss."" And the youngest was the hotheaded and impetuous Joseph or ""Little Joe."" They all lived and worked on The Ponderosa. Nearby Virginia City helped populate the episodes with guest starring characters from all over America. Broadcast between September 1959 and January 1973. Filmed by the Nation","[""Unknown""]",6-10,,Archive metadata/description/subjects mention public domain.,0.8,True,True,48,high,medium,medium,high,medium,False,"[""adventure"", ""friendship""]",A classic Unknown cartoon with high visual stimulation and high conflict.,36
Bonanza - San Francisco,1959,Unknown,Bonanza-SanFrancisco,https://archive.org/details/Bonanza-SanFrancisco,https://archive.org/embed/Bonanza-SanFrancisco,https://archive.org/download/Bonanza-SanFrancisco/Bonanza_-_San_Francisco_S01-E28.mp4,Bonanza_-_San_Francisco_S01-E28.mp4,"Set in Nevada in the 1860s, Bonanza chronicled the adventures of the Cartwright family who owned a large ranch called The Ponderosa. Ben Cartwright and his three sons, Adam, Hoss, and Joe fought for what was just and decent in a time where lawlessness was common. The widowed patriarch Ben Cartwright had three sons, each by a different wife: the oldest was the urbane architect Adam Cartwright, who built the ranch house. The second was the warm and lovable giant Eric, better known by his nickname ""Hoss."" And the youngest was the hotheaded and impetuous Joseph or ""Little Joe."" They all lived and worked on The Ponderosa. Nearby Virginia City helped populate the episodes with guest starring characters from all over America. Broadcast between September 1959 and January 1973. Filmed by the Nation","[""Unknown""]",6-10,,Archive metadata/description/subjects mention public domain.,0.8,True,True,48,high,medium,medium,high,medium,False,"[""adventure"", ""musical"", ""friendship""]",A classic Unknown cartoon with high visual stimulation and high conflict.,37
Bonanza - The Avenger,1959,Unknown,Bonanza-TheAvenger,https://archive.org/details/Bonanza-TheAvenger,https://archive.org/embed/Bonanza-TheAvenger,https://archive.org/download/Bonanza-TheAvenger/Bonanza_-_The_Avenger_S01-E26.mp4,Bonanza_-_The_Avenger_S01-E26.mp4,"Set in Nevada in the 1860s, Bonanza chronicled the adventures of the Cartwright family who owned a large ranch called The Ponderosa. Ben Cartwright and his three sons, Adam, Hoss, and Joe fought for what was just and decent in a time where lawlessness was common. The widowed patriarch Ben Cartwright had three sons, each by a different wife: the oldest was the urbane architect Adam Cartwright, who built the ranch house. The second was the warm and lovable giant Eric, better known by his nickname ""Hoss."" And the youngest was the hotheaded and impetuous Joseph or ""Little Joe."" They all lived and worked on The Ponderosa. Nearby Virginia City helped populate the episodes with guest starring characters from all over America. Broadcast between September 1959 and January 1973. Filmed by the Nation","[""Unknown""]",6-10,,Archive metadata/description/subjects mention public domain.,0.8,True,True,48,high,medium,medium,high,medium,False,"[""adventure"", ""friendship""]",A classic Unknown cartoon with high visual stimulation and high conflict.,38
Bonanza - The Gunmen,1959,Unknown,Bonanza-TheGunmen,https://archive.org/details/Bonanza-TheGunmen,https://archive.org/embed/Bonanza-TheGunmen,https://archive.org/download/Bonanza-TheGunmen/Bonanza_The_Gunmen_S01-E19.mp4,Bonanza_The_Gunmen_S01-E19.mp4,"Set in Nevada in the 1860s, Bonanza chronicled the adventures of the Cartwright family who owned a large ranch called The Ponderosa. Ben Cartwright and his three sons, Adam, Hoss, and Joe fought for what was just and decent in a time where lawlessness was common. The widowed patriarch Ben Cartwright had three sons, each by a different wife: the oldest was the urbane architect Adam Cartwright, who built the ranch house. The second was the warm and lovable giant Eric, better known by his nickname ""Hoss."" And the youngest was the hotheaded and impetuous Joseph or ""Little Joe."" They all lived and worked on The Ponderosa. Nearby Virginia City helped populate the episodes with guest starring characters from all over America. Broadcast between September 1959 and January 1973. Filmed by the Nation","[""Unknown""]",6-10,,Archive metadata/description/subjects mention public domain.,0.8,True,True,48,high,medium,medium,high,medium,False,"[""adventure"", ""friendship""]",A classic Unknown cartoon with high visual stimulation and high conflict.,39
Bonanza - The Spanish Grant,1959,Unknown,Bonanza-TheSpanishGrant,https://archive.org/details/Bonanza-TheSpanishGrant,https://archive.org/embed/Bonanza-TheSpanishGrant,https://archive.org/download/Bonanza-TheSpanishGrant/Bonanza_-_The_Spanish_Grant_S01-E21.mp4,Bonanza_-_The_Spanish_Grant_S01-E21.mp4,"Set in Nevada in the 1860s, Bonanza chronicled the adventures of the Cartwright family who owned a large ranch called The Ponderosa. Ben Cartwright and his three sons, Adam, Hoss, and Joe fought for what was just and decent in a time where lawlessness was common. The widowed patriarch Ben Cartwright had three sons, each by a different wife: the oldest was the urbane architect Adam Cartwright, who built the ranch house. The second was the warm and lovable giant Eric, better known by his nickname ""Hoss."" And the youngest was the hotheaded and impetuous Joseph or ""Little Joe."" They all lived and worked on The Ponderosa. Nearby Virginia City helped populate the episodes with guest starring characters from all over America. Broadcast between September 1959 and January 1973. Filmed by the Nation","[""Unknown""]",6-10,,Archive metadata/description/subjects mention public domain.,0.8,True,True,48,high,medium,medium,high,medium,False,"[""adventure"", ""friendship""]",A classic Unknown cartoon with high visual stimulation and high conflict.,40
Bonanza - The Stranger,1959,Unknown,Bonanza-TheStranger,https://archive.org/details/Bonanza-TheStranger,https://archive.org/embed/Bonanza-TheStranger,https://archive.org/download/Bonanza-TheStranger/Bonanza_-_The_Stranger_S01-E24.mp4,Bonanza_-_The_Stranger_S01-E24.mp4,"Set in Nevada in the 1860s, Bonanza chronicled the adventures of the Cartwright family who owned a large ranch called The Ponderosa. Ben Cartwright and his three sons, Adam, Hoss, and Joe fought for what was just and decent in a time where lawlessness was common. The widowed patriarch Ben Cartwright had three sons, each by a different wife: the oldest was the urbane architect Adam Cartwright, who built the ranch house. The second was the warm and lovable giant Eric, better known by his nickname ""Hoss."" And the youngest was the hotheaded and impetuous Joseph or ""Little Joe."" They all lived and worked on The Ponderosa. Nearby Virginia City helped populate the episodes with guest starring characters from all over America. Broadcast between September 1959 and January 1973. Filmed by the Nation","[""Unknown""]",6-10,,Archive metadata/description/subjects mention public domain.,0.8,True,True,48,high,medium,medium,high,medium,False,"[""adventure"", ""friendship""]",A classic Unknown cartoon with high visual stimulation and high conflict.,41
Death Rides a Horse,1967,Unknown,DeathRidesAHorse,https://archive.org/details/DeathRidesAHorse,https://archive.org/embed/DeathRidesAHorse,https://archive.org/download/DeathRidesAHorse/DeathRidesAHorse1967.mp4,DeathRidesAHorse1967.mp4,"Death Rides a Horse (aka Da uomo a uomo, or As Man to Man) is a 1967 spaghetti western directed by Giulio Petroni, written by Luciano Vincenzoni, and starring Lee Van Cleef and John Phillip Law. Bill Meceita, a boy whose family was murdered in front of him by a gang, sets out 15 years later to exact revenge. On his journey, he finds himself continually sparring and occasionally cooperating with Ryan, a gunfighter on his own quest for vengeance, who knows more than he says about Bill's tragedy. The film has lapsed into public domain.","[""Unknown""]",4-8,,Archive metadata/description/subjects mention public domain.,0.8,True,True,72,medium,medium,low,low,medium,False,"[""classic"", ""cartoon"", ""family""]",A classic Unknown cartoon with medium visual stimulation and low conflict.,42
Mickey Mouse Works,1999,Walt Disney Studio,Mickey-Mouse-Works,https://archive.org/details/Mickey-Mouse-Works,https://archive.org/embed/Mickey-Mouse-Works,https://archive.org/download/Mickey-Mouse-Works/Mickey%20Mouse%20Works%20%281999%29/Season%201/Mickey%20Mouse%20Works%20-%20S01E01%20-%20%2801%29%20Train%20Tracks..%20%5BVHSRip%5D.mp4,Mickey Mouse Works (1999)/Season 1/Mickey Mouse Works - S01E01 - (01) Train Tracks.. [VHSRip].mp4,"Mickey Mouse Works Sry, almost a complete S1 and missing a few from Season 2. The Music (Archive) Mickey Mouse Works Album Please Check Out (Archive): Mickey Mouse Works Model Sheets For whatever reason, archive will show what was last uploaded first - mp4 Serbian instead of mkv (mp4 ia) English. 10/11/23 With the recent discovery, we can find almost all of them except a few episodes beside being in Serbian and not naming over the video which I wanted to stay as clean as possible for this listing. Here is all the one's Lisani Lisanic has uploaded from the past year which I have downloaded via jd2 since ytb-dl wanted account info which I don't have yet on VK. https://vk.com/video/@id253816416?len=2&amp;q=mickey%20mouse%20works Ep13 may seemed to be mono only, You don't here Mickey say ""Oh B","[""Mickey Mouse"", ""Minnie Mouse""]",4-8,,Archive metadata/description/subjects mention public domain.,0.8,True,True,72,medium,medium,low,low,medium,False,"[""musical"", ""friendship""]",A classic Walt Disney Studio cartoon with medium visual stimulation and low conflict.,43
8mm Film Leader,,Unknown,8mmFilmLeader,https://archive.org/details/8mmFilmLeader,https://archive.org/embed/8mmFilmLeader,https://archive.org/download/8mmFilmLeader/FilmLeaderPhotojpeg.mp4,FilmLeaderPhotojpeg.mp4,"Please visit my blog to see all of my stock video footage offered for Free use: beachfrontprod.blogspot.com To preview all of my clips, feel free to subscribe to my YouTube Channel at: http://www.youtube.com/user/Beachfrontprod You can also like us on Facebook or follow us on Twitter","[""Unknown""]",4-8,,Archive metadata/description/subjects mention public domain.,0.8,True,True,72,medium,medium,low,low,medium,False,"[""classic"", ""cartoon"", ""family""]",A classic Unknown cartoon with medium visual stimulation and low conflict.,44
NYC Traffic Time Lapse (Free to Use HD Stock Footage),,Unknown,NycTrafficTimeLapse,https://archive.org/details/NycTrafficTimeLapse,https://archive.org/embed/NycTrafficTimeLapse,https://archive.org/download/NycTrafficTimeLapse/NycTrafficPhotojpeg.mp4,NycTrafficPhotojpeg.mp4,"I was fortunate enough to land myself in New York City a few months ago and managed to bring my camera along. While performing other duties, I managed to grab a few time lapses that I hope would be helpful to some people. This first one at dusk is in Manhattan. Please visit my blog to see all of my stock video footage offered for Free use: beachfrontprod.blogspot.com To preview all of my clips, feel free to subscribe to my YouTube Channel at: http://www.youtube.com/user/Beachfrontprod You can also like us on Facebook","[""Unknown""]",4-8,,Archive metadata/description/subjects mention public domain.,0.8,True,True,72,medium,medium,low,low,medium,False,"[""classic"", ""cartoon"", ""family""]",A classic Unknown cartoon with medium visual stimulation and low conflict.,45
Popeye Public Domain Collection,,Fleischer Studios,popeye-pubdomain,https://archive.org/details/popeye-pubdomain,https://archive.org/embed/popeye-pubdomain,https://archive.org/download/popeye-pubdomain/A_Date_to_Skate.mp4,A_Date_to_Skate.mp4,Collection of classic Popeye cartoons that fell into the Public Domain.,"[""Popeye"", ""Olive Oyl"", ""Bluto""]",5-10,,Archive metadata/description/subjects mention public domain.,0.8,True,True,54,high,medium,low,medium,medium,False,"[""slapstick""]",A classic Fleischer Studios cartoon with high visual stimulation and medium conflict.,46
Road Trip (Royalty Free Stock Video),,Unknown,RoadTriproyaltyFreeStockVideo,https://archive.org/details/RoadTriproyaltyFreeStockVideo,https://archive.org/embed/RoadTriproyaltyFreeStockVideo,https://archive.org/download/RoadTriproyaltyFreeStockVideo/RoadTrip.mp4,RoadTrip.mp4,"Please visit my blog to see all of my stock video offered for Free use: beachfrontprod.blogspot.com To preview all of my clips, feel free to subscribe to my YouTube Channel at: http://www.youtube.com/user/Beachfrontprod","[""Unknown""]",4-8,,Archive metadata/description/subjects mention public domain.,0.8,True,True,72,medium,medium,low,low,medium,False,"[""classic"", ""cartoon"", ""family""]",A classic Unknown cartoon with medium visual stimulation and low conflict.,47
Snow Falling (Free to Use HD Special Effect),,Unknown,SnowFalling_201402,https://archive.org/details/SnowFalling_201402,https://archive.org/embed/SnowFalling_201402,https://archive.org/download/SnowFalling_201402/Snow%20PhotoJPEG.mp4,Snow PhotoJPEG.mp4,"Please visit my blog to see all of my stock video footage offered for Free use: beachfrontprod.blogspot.com To preview all of my clips, feel free to subscribe to my YouTube Channel at: http://www.youtube.com/user/Beachfrontprod You can also like us on Facebook or follow us on Twitter","[""Unknown""]",4-8,,Archive metadata/description/subjects mention public domain.,0.8,True,True,72,medium,medium,low,low,medium,False,"[""classic"", ""cartoon"", ""family""]",A classic Unknown cartoon with medium visual stimulation and low conflict.,48
Starry Sky Time Lapse (Free to Use HD Stock Video Footage),,Unknown,Starry_Sky_Time_Lapse,https://archive.org/details/Starry_Sky_Time_Lapse,https://archive.org/embed/Starry_Sky_Time_Lapse,https://archive.org/download/Starry_Sky_Time_Lapse/Stars%20DNXHD.mp4,Stars DNXHD.mp4,"Please visit my blog to see all of my stock video footage offered for Free use: beachfrontprod.blogspot.com To preview all of my clips, feel free to subscribe to my YouTube Channel at: http://www.youtube.com/user/Beachfrontprod You can also like us on Facebook or follow us on Twitter","[""Unknown""]",4-8,,Archive metadata/description/subjects mention public domain.,0.8,True,True,72,medium,medium,low,low,medium,False,"[""classic"", ""cartoon"", ""family""]",A classic Unknown cartoon with medium visual stimulation and low conflict.,49
Three Stooges Episodes,,Unknown,3stooges,https://archive.org/details/3stooges,https://archive.org/embed/3stooges,https://archive.org/download/3stooges/3stooges_NewApants2.mp4,3stooges_NewApants2.mp4,4 Episodes Of The 3 Stooges. Downloads include: Disorder In The Court Brideless Groom Sing A Song Of Six Pants Malice In The Palace,"[""Unknown""]",4-8,,Archive metadata/description/subjects mention public domain.,0.8,True,True,72,medium,medium,low,low,medium,False,"[""musical""]",A classic Unknown cartoon with medium visual stimulation and low conflict.,50
